title,description,file,category
Informe de las distintas Jefaturas Superiores- Comisaría General de Información. Situación actual en las distintas regiones policiales (24 de febrero de 1981).,Dirección General de la Policía,https://s1.ppllstatics.com/comun/img/2026/papeles-23f/SITUACION_REGIONES_POLICIALES_24-02-81.pdf,Dirección General de la Policía
Informe de las distintas Jefaturas Superiores- Comisaría General de Información. Situación actual en las distintas regiones policiales  (25 de febrero de 1981).,Dirección General de la Policía,https://s1.ppllstatics.com/comun/img/2026/papeles-23f/SITUACION_REGIONES_POLICIALES_25-02-81.pdf,Dirección General de la Policía
Informe de las distintas Jefaturas Superiores- Comisaría General de Información. Situación actual en las distintas regiones policiales (26 de febrero de 1981).,Dirección General de la Policía,https://s1.ppllstatics.com/comun/img/2026/papeles-23f/SITUACION_REGIONES_POLICIALES_26-02-81.pdf,Dirección General de la Policía
Nota- Fuerza Nueva. El divorcio del Rey con el Ejército (12 de marzo de 1981).,Dirección General de la Policía,https://s1.ppllstatics.com/comun/img/2026/papeles-23f/12-03-81_NOTA_INFORMATIVA_SOBRE_FUERZA_NUEVA.pdf,Dirección General de la Policía
Nota de la Brigada de Información Interior- Ayudas a los implicados en el 23-F. Desde altas instancias castrenses campaña de ayuda económica para los implicados en el 23-F (18 de marzo de 1981).,Dirección General de la Policía,https://s1.ppllstatics.com/comun/img/2026/papeles-23f/18-03-81_NOTA_INFORMATIVA_SOBRE_LA_AYUDA_A_LOS_IMPLICADOS_23F.pdf,Dirección General de la Policía
"Nota de la Brigada de Información Interior- El 23-F basado en la Operación Ariete. Libro sobre el 23-F revelará que se valoró la entrada del GEO en el Congreso, y que el 23-F se basó en la anterior operación Ariete (18 de marzo de 1981).",Dirección General de la Policía,https://s1.ppllstatics.com/comun/img/2026/papeles-23f/18-03-81_NOTA_INFORMATIVA_SOBRE_LA_OPERACION_ARIETE.pdf,Dirección General de la Policía
Nota- Bloqueada una cuenta de la asociación de mujeres de militares y policías. Esta asociación ha recibido cuantiosos donativos para las familias de los implicados en el 23-F (27 de marzo de 1981).,Dirección General de la Policía,https://s1.ppllstatics.com/comun/img/2026/papeles-23f/27-03-81_NOTA_INFORMATIVA_SOBRE_BLOQUEO_DE_CUENTA_DE_ASOC_DE_MUJERES_DE_MILITARES.pdf,Dirección General de la Policía
Nota- Partido Comunista de España PCE. Intento de la extrema derecha de implicar a la monarquía en el 23-F (11 de mayo de 1981).,Dirección General de la Policía,https://s1.ppllstatics.com/comun/img/2026/papeles-23f/11-05-81_NOTA_INFORMATIVA_SOBRE_EL_PCE.pdf,Dirección General de la Policía
Nota- Campaña de formación del PSOE sobre involución (13 de mayo de 1981).,Dirección General de la Policía,https://s1.ppllstatics.com/comun/img/2026/papeles-23f/13-05_1.pdf,Dirección General de la Policía
Nota de la Brigada de Información Interior- Apoyo económico a los implicados en el 23-F (10 de mayo de 1983).,Dirección General de la Policía,https://s1.ppllstatics.com/comun/img/2026/papeles-23f/10-05-83_NOTA_INFORMATIVA_SOBRE_APOYO_ECONOMICO_A_LOS_IMPLICADOS.pdf,Dirección General de la Policía
Policía Nacional. Informe de situación. Marca- reservado-confidencial (12 de noviembre de 1981).,"Otra documentación del Ministerio del Interior
",https://s1.ppllstatics.com/comun/img/2026/papeles-23f/1_PN_Informe_Situacion_12-11-81_desp.pdf,"Otra documentación del Ministerio del Interior
"
Índices de subversión en las FAS. Marca- SECRETO (diciembre de 1981).,"Otra documentación del Ministerio del Interior
",https://s1.ppllstatics.com/comun/img/2026/papeles-23f/2_Indices_de_subversion_en_las_FAS_DIC_1981.pdf,"Otra documentación del Ministerio del Interior
"
"Juicio del 23-F- acotaciones al desarrollo del juicio, notas procesales sobre el consejo de guerra, nota sobre posible expediente gubernativo a los guardias civiles, relación de implicados, informe de Jane Walker sobre sentencias benévolas.","Otra documentación del Ministerio del Interior
",https://s1.ppllstatics.com/comun/img/2026/papeles-23f/3_Juicio_del_23-F_desp.pdf,"Otra documentación del Ministerio del Interior
"
Nota Campaña contra S.M. (sin firma).,"Otra documentación del Ministerio del Interior
",https://s1.ppllstatics.com/comun/img/2026/papeles-23f/4_campana_contra_SM.pdf,"Otra documentación del Ministerio del Interior
"
Nota Involucionismo político provocado por posible golpe militar (sin firma).,"Otra documentación del Ministerio del Interior
",https://s1.ppllstatics.com/comun/img/2026/papeles-23f/5_INVOLUCIONISMO_POLITICO_PROVOCADO_POSIBLE_GOLPE_MILITAR_desp.pdf,"Otra documentación del Ministerio del Interior
"
Nota Posible golpe de estado (sin firma).,"Otra documentación del Ministerio del Interior
",https://s1.ppllstatics.com/comun/img/2026/papeles-23f/6_POSIBLE_GOLPE_DE_ESTADO_desp.pdf,"Otra documentación del Ministerio del Interior
"
