Proyecto,Importe de Adjudicación,LAT,LON
1,"158.801.001,18","37,9736098","-1,1216807"
2,"121.196.734,32","37,9893044","-1,1320073"
3,"92.416.975,61","42,3368688","-2,0212284"
4,"6.102.423,18","43,379187","-6,065851"
5,"51.760.263,99","41,3847087","2,049489"
6,"59.874.028,62","42,418606","-2,6747055"
7,"71.404.645,30","37,3498515","-5,9940638"
8,"5.770.068,18","40,3456879","-1,1064345"
9,"489.300,00","43,4876302","-6,1105365"
