id,Tipo-costa,Altitud,Tipo-alttud,tipo-altitud-2,grupo_pob,NOMBRE COMPLETO,MUNICIPIO,PROVINCIA,CÓDIGO,ENTRADAS_2024,ENTRADAS_2019,pob_2024,tipo-pob,pob_2019,ENTRADASXHAB,ENTRADASXHAB_19,ENTRADASXTRAB,cnae-suma,VAR_ENTRADAS,recepcion_español_2024,recepcion_internacional_2024,ENTRADAS_ext
3523,no,769,Menos de 1000 metros,601-1.000,10001-50000,23009 Baeza,Baeza,Jaén,23009,12699,14073,15677,10.000 – 49.999,15841,"0,81","0,89","21,54","589,50","-0,10",11713,986,"92,24"
7502,no,6,Menos de 1000 metros,0-200,100001-500000,48020 Bilbao,Bilbao,Bizkaia,48020,281710,253124,348089,>200.000,346843,"0,81","0,73","16,56","17016,50","0,11",200693,81017,"71,24"
5125,no,749,Menos de 1000 metros,601-1.000,1001-5000,34079 Grijota,Grijota,Palencia,34079,2256,2486,2789,2.000 – 9.999,2319,"0,81","1,07","118,74","19,00","-0,09",2071,185,"91,80"
2670,yes,32,Menos de 1000 metros,0-200,1001-5000,17223 Vilajuïga,Vilajuïga,Girona,17223,953,3801,1179,500 – 1.999,1104,"0,81","3,44","20,28","47,00","-0,75",300,653,"31,48"
7539,yes,9,Menos de 1000 metros,0-200,5001-10000,48057 Lekeitio,Lekeitio,Bizkaia,48057,5786,11713,7163,2.000 – 9.999,7307,"0,81","1,60","19,00","304,50","-0,51",3789,1997,"65,49"
3618,no,598,Menos de 1000 metros,201-600,501-1000,24007 Arganza,Arganza,León,24007,650,502,805,500 – 1.999,816,"0,81","0,62","17,33","37,50","0,29",352,298,"54,15"
4242,no,416,Menos de 1000 metros,201-600,1001-5000,27015 Cospeito,Cospeito,Lugo,27015,3401,3353,4213,2.000 – 9.999,4484,"0,81","0,75","43,60","78,00","0,01",3149,252,"92,59"
7585,yes,6,Menos de 1000 metros,0-200,501-1000,48906 Forua,Forua,Bizkaia,48906,766,1326,949,500 – 1.999,920,"0,81","1,44","35,63","21,50","-0,42",510,256,"66,58"
5777,no,294,Menos de 1000 metros,201-600,501-1000,39010 Bárcena de Pie de Concha,Bárcena de Pie de Concha,Cantabria,39010,544,1749,674,500 – 1.999,678,"0,81","2,58","31,09","17,50","-0,69",439,105,"80,70"
902,yes,17,Menos de 1000 metros,0-200,10001-50000,08040 Canet de Mar,Canet de Mar,Barcelona,08040,12207,11181,15140,10.000 – 49.999,14526,"0,81","0,77","21,78","560,50","0,09",6305,5902,"51,65"
