Orden,Nombre,Frecuencia,Edad Media (*),sexo
1313,JUANITA,1.188 ,"56,1",Mujer
2566,ANA CONCEPCION,411 ,"56,1",Mujer
2941,LUISA ISABEL,339 ,"56,1",Mujer
3389,GLORIA PILAR,278 ,"56,1",Mujer
3755,MARIA NORMA,241 ,"56,1",Mujer
4005,ANA OLGA,221 ,"56,1",Mujer
4256,CANDIDA MARIA,206 ,"56,1",Mujer
4621,MARIA ESPINO,184 ,"56,1",Mujer
4859,PRISCA,173 ,"56,1",Mujer
5271,SILVIA ROSA,156 ,"56,1",Mujer
5780,OLGA TERESA,139 ,"56,1",Mujer
6932,ALICIA NOEMI,110 ,"56,1",Mujer
7477,MARINA ESTHER,101 ,"56,1",Mujer
7693,CARMEN ADELA,97 ,"56,1",Mujer
7877,OLGA SUSANA,95 ,"56,1",Mujer
8523,ENGRACIA MARIA,86 ,"56,1",Mujer
8709,NIEVES LUZ,84 ,"56,1",Mujer
9323,MILAGROS COROMOTO,77 ,"56,1",Mujer
10363,AMADA MARIA,67 ,"56,1",Mujer
10940,GLORIA PIEDAD,63 ,"56,1",Mujer
11135,ROSARIO ELENA,62 ,"56,1",Mujer
11617,ROSA PIEDAD,59 ,"56,1",Mujer
12333,OFIR,55 ,"56,1",Mujer
12937,JULIA ALICIA,52 ,"56,1",Mujer
13008,PATRIA,52 ,"56,1",Mujer
13759,ANA FLORA,48 ,"56,1",Mujer
13805,EL KHAMSA,48 ,"56,1",Mujer
13994,AILAN,47 ,"56,1",Mujer
14424,MARGARITA RAQUEL,46 ,"56,1",Mujer
14574,ALDONA,45 ,"56,1",Mujer
16270,DORIS MARLENE,40 ,"56,1",Mujer
16338,JUNKO,40 ,"56,1",Mujer
16906,ALIDA MARIA,38 ,"56,1",Mujer
17296,ALICIA MAGDALENA,37 ,"56,1",Mujer
18811,EULOGIA MARIA,34 ,"56,1",Mujer
19099,STELICA,34 ,"56,1",Mujer
19453,MARIA ELA,33 ,"56,1",Mujer
19617,SUZANNE MARIE,33 ,"56,1",Mujer
20336,CUIHUA,31 ,"56,1",Mujer
20370,ELISA ROSARIO,31 ,"56,1",Mujer
20559,MARCIA YOLANDA,31 ,"56,1",Mujer
20762,SUSANA ELVIRA,31 ,"56,1",Mujer
20815,YVONNE MARIA,31 ,"56,1",Mujer
20933,CHUNXIANG,30 ,"56,1",Mujer
21592,DAFINKA,29 ,"56,1",Mujer
21624,EL HACHMIA,29 ,"56,1",Mujer
21625,EL KEBIRA,29 ,"56,1",Mujer
22244,CONCEPCION RAQUEL,28 ,"56,1",Mujer
23232,MANDY JANE,27 ,"56,1",Mujer
23953,JUSTINA MARIA,26 ,"56,1",Mujer
24.587,CRUZ MARINA,25 ,"56,1",Mujer
24.926,MARIA ASSUNTA,25 ,"56,1",Mujer
25.360,ANICIA,24 ,"56,1",Mujer
25.816,MANUELA GUADALUPE,24 ,"56,1",Mujer
25.863,MARINA CELIA,24 ,"56,1",Mujer
26.068,SIYKA,24 ,"56,1",Mujer
26.241,ANA AMAYA,23 ,"56,1",Mujer
26.311,AURORA ESPERANZA,23 ,"56,1",Mujer
26.397,CRISTINA GRACIELA,23 ,"56,1",Mujer
26.402,DALIA MARGARITA,23 ,"56,1",Mujer
26.993,PILAR ELVIRA,23 ,"56,1",Mujer
27.273,ALICIA COROMOTO,22 ,"56,1",Mujer
27.858,LUZ MIRYAN,22 ,"56,1",Mujer
28.596,CONSUELO LOURDES,21 ,"56,1",Mujer
29.179,MARTHA EMILIA,21 ,"56,1",Mujer
29.391,ROSA LUZMILA,21 ,"56,1",Mujer
29.599,YLUMINADA,21 ,"56,1",Mujer
30.527,MONICA OLGA,20 ,"56,1",Mujer
46,JOAQUIN,102.251 ,"56,0",Hombres
90,ALFREDO,40.405 ,"56,0",Hombres
534,NORBERTO,3.520 ,"56,0",Hombres
942,FERNANDO LUIS,1.569 ,"56,0",Hombres
2675,ZENON,389 ,"56,0",Hombres
2924,JUAN CLAUDIO,343 ,"56,0",Hombres
3428,JOSE FEDERICO,282 ,"56,0",Hombres
3432,RAFAEL RAMON,282 ,"56,0",Hombres
3448,ENRIQUE RAMON,280 ,"56,0",Hombres
3746,DOMINGOS,251 ,"56,0",Hombres
3935,FELIX RAMON,237 ,"56,0",Hombres
3974,JOHN ANTHONY,234 ,"56,0",Hombres
5005,ANGEL GREGORIO,174 ,"56,0",Hombres
5331,RICARDO VICENTE,162 ,"56,0",Hombres
5741,RAFAEL TOMAS,148 ,"56,0",Hombres
6673,AHMIDA,124 ,"56,0",Hombres
7486,AMOR,108 ,"56,0",Hombres
7689,TRIFON,105 ,"56,0",Hombres
7859,ANTONIO JOAQUIM,101 ,"56,0",Hombres
8236,ANTONIO AURELIO,95 ,"56,0",Hombres
8741,MANUEL BENJAMIN,89 ,"56,0",Hombres
9576,LUIS NORBERTO,79 ,"56,0",Hombres
10492,BOUKHIAR,70 ,"56,0",Hombres
10595,TEODORO JESUS,70 ,"56,0",Hombres
10744,XOSE CARLOS,69 ,"56,0",Hombres
11105,NICULAI,66 ,"56,0",Hombres
11501,GERMAN ANGEL,63 ,"56,0",Hombres
12127,FRANCISCO MARCELO,59 ,"56,0",Hombres
12305,FRANCISCO LAZARO,58 ,"56,0",Hombres
13431,DOMINGO CARLOS,52 ,"56,0",Hombres
13510,MANUEL CECILIO,52 ,"56,0",Hombres
13602,ANGEL JAIME,51 ,"56,0",Hombres
14109,FRANCISCO ELADIO,49 ,"56,0",Hombres
15446,DANIEL HECTOR,44 ,"56,0",Hombres
15957,ALFONSO JORGE,42 ,"56,0",Hombres
16204,PEDRO EUSEBIO,42 ,"56,0",Hombres
16273,ADOLFO ANGEL,41 ,"56,0",Hombres
17014,DOMINGO MARTIN,39 ,"56,0",Hombres
17345,CELSO JESUS,38 ,"56,0",Hombres
18283,MFEDDAL,36 ,"56,0",Hombres
18852,ANTONIO DIONISIO,34 ,"56,0",Hombres
19542,JUAN BALTASAR,33 ,"56,0",Hombres
19742,YUEPING,33 ,"56,0",Hombres
20051,LUIS ARSENIO,32 ,"56,0",Hombres
20149,RAFAEL CESAR,32 ,"56,0",Hombres
21175,MANUEL ARCADIO,30 ,"56,0",Hombres
22199,FERNANDO HECTOR,28 ,"56,0",Hombres
22843,EUGENIO ALFONSO,27 ,"56,0",Hombres
23101,MARIANO EMILIO,27 ,"56,0",Hombres
23231,SEGUNDO GONZALO,27 ,"56,0",Hombres
23501,DOMINGO PABLO,26 ,"56,0",Hombres
24933,AURELIO VICENTE,24 ,"56,0",Hombres
26758,CONRADO ANTONIO,22 ,"56,0",Hombres
26876,FELIX GERARDO,22 ,"56,0",Hombres
27100,JOSE ROSA,22 ,"56,0",Hombres
27205,MARIANO JULIAN,22 ,"56,0",Hombres
27583,ANTIOCO,21 ,"56,0",Hombres
28574,ALGIMANTAS,20 ,"56,0",Hombres
28581,AMBROSIO MANUEL,20 ,"56,0",Hombres
788,MARIA FUENSANTA,2.455 ,"56,0",Mujer
1846,TERESA CARMEN,684 ,"56,0",Mujer
2580,MARIA GRANADA,409 ,"56,0",Mujer
2794,GLADYS MARIA,362 ,"56,0",Mujer
2960,ESTHER GLORIA,336 ,"56,0",Mujer
3267,LUZ ESTELLA,294 ,"56,0",Mujer
4116,MARIA NARCISA,214 ,"56,0",Mujer
4203,CARMEN AURORA,209 ,"56,0",Mujer
4812,MARTHA INES,175 ,"56,0",Mujer
5549,AMPARO ISABEL,145 ,"56,0",Mujer
5755,AMALIA CARMEN,139 ,"56,0",Mujer
5910,AURA MARINA,135 ,"56,0",Mujer
6019,ELVIRA ISABEL,132 ,"56,0",Mujer
6050,ADELA ISABEL,131 ,"56,0",Mujer
8373,JUANA LOURDES,88 ,"56,0",Mujer
8826,JULIA ROSARIO,82 ,"56,0",Mujer
10160,HIMO,69 ,"56,0",Mujer
10311,MARIE PIERRE,68 ,"56,0",Mujer
10718,ROSA FATIMA,65 ,"56,0",Mujer
11345,DORYS,60 ,"56,0",Mujer
11391,MARIA CARMENZA,60 ,"56,0",Mujer
11695,ELSA YOLANDA,58 ,"56,0",Mujer
12157,SUSANA NOEMI,56 ,"56,0",Mujer
12316,MERCEDES CARIDAD,55 ,"56,0",Mujer
12551,MIREN MAITANE,54 ,"56,0",Mujer
12800,ROSARIO ESPERANZA,53 ,"56,0",Mujer
13562,CLARA DOLORES,49 ,"56,0",Mujer
14274,ALICIA FRANCISCA,46 ,"56,0",Mujer
14678,HASBIA,45 ,"56,0",Mujer
15582,DIGNA MERCEDES,42 ,"56,0",Mujer
15609,FANNY ESPERANZA,42 ,"56,0",Mujer
15613,FLORDELIZA,42 ,"56,0",Mujer
15628,HAYDEE MARIA,42 ,"56,0",Mujer
16182,ADRIANA GRACIELA,40 ,"56,0",Mujer
16913,AMPARO JOSE,38 ,"56,0",Mujer
17285,AIJU,37 ,"56,0",Mujer
18052,MARTA JOSEFINA,36 ,"56,0",Mujer
18266,BLANCA HERMINIA,35 ,"56,0",Mujer
18464,LUZ CONSUELO,35 ,"56,0",Mujer
18735,CANDIDA ISABEL,34 ,"56,0",Mujer
18736,CARIDAD PILAR,34 ,"56,0",Mujer
19825,ESPERANZA ANGELES,32 ,"56,0",Mujer
20975,DOLORES MAGDALENA,30 ,"56,0",Mujer
21176,LUZ OMAIRA,30 ,"56,0",Mujer
22992,EDITA MARIA,27 ,"56,0",Mujer
23172,KATHRYN ANNE,27 ,"56,0",Mujer
24.185,NELLY ROSARIO,26 ,"56,0",Mujer
24.197,NIEVES YOLANDA,26 ,"56,0",Mujer
24.257,ROSARIO JOSEFINA,26 ,"56,0",Mujer
24.627,ELSA PIEDAD,25 ,"56,0",Mujer
25.263,YONGHUA,25 ,"56,0",Mujer
25.296,ALBINA MARIA,24 ,"56,0",Mujer
26.029,ROSARIO YOLANDA,24 ,"56,0",Mujer
26.073,SOLEDAD TERESA,24 ,"56,0",Mujer
26.108,TERESA VIRGINIA,24 ,"56,0",Mujer
27.144,TUDORINA,23 ,"56,0",Mujer
27.633,GLADYS JUDITH,22 ,"56,0",Mujer
28.005,MIRNA ROSA,22 ,"56,0",Mujer
28.058,NORA ALBA,22 ,"56,0",Mujer
28.294,XIOMARA ALTAGRACIA,22 ,"56,0",Mujer
28.448,ANGELES ELENA,21 ,"56,0",Mujer
29.743,ANN CHRISTIN,20 ,"56,0",Mujer
30.464,MAURA CATALINA,20 ,"56,0",Mujer
610,JOSE AGUSTIN,2.971 ,"55,9",Hombres
812,JULIO ANTONIO,1.955 ,"55,9",Hombres
877,LUIS RAMON,1.712 ,"55,9",Hombres
1030,JOSE FELIPE,1.421 ,"55,9",Hombres
1315,ALFONS,1.026 ,"55,9",Hombres
2033,JOSE BLAS,574 ,"55,9",Hombres
2420,FRANCISCO SANTIAGO,450 ,"55,9",Hombres
2426,JUAN ISIDRO,448 ,"55,9",Hombres
2515,ANGEL JUAN,425 ,"55,9",Hombres
3089,JOSE CANDIDO,320 ,"55,9",Hombres
3449,FELIX FRANCISCO,280 ,"55,9",Hombres
3570,JUAN JAIME,267 ,"55,9",Hombres
3950,JULIO CARLOS,236 ,"55,9",Hombres
3958,ANGEL MARIANO,235 ,"55,9",Hombres
5852,AGUSTIN CARLOS,144 ,"55,9",Hombres
6017,JOSE VIRGILIO,140 ,"55,9",Hombres
6079,ANTONIO GONZALO,138 ,"55,9",Hombres
7669,JUAN ROQUE,105 ,"55,9",Hombres
7894,JUAN RAMIRO,101 ,"55,9",Hombres
8687,ANGEL ISIDRO,89 ,"55,9",Hombres
8851,CONSTANTINO JOSE,87 ,"55,9",Hombres
9695,SALVADOR RAFAEL,78 ,"55,9",Hombres
10650,DAVID BRIAN,69 ,"55,9",Hombres
10775,BOLIVAR,68 ,"55,9",Hombres
11554,PLACIDO MANUEL,63 ,"55,9",Hombres
11726,SANTIAGO FELIX,62 ,"55,9",Hombres
12250,ALFREDO MARIA,58 ,"55,9",Hombres
13145,RAMON JOSEP,54 ,"55,9",Hombres
13870,ELISEO JOSE,50 ,"55,9",Hombres
14152,JOSE UBALDO,49 ,"55,9",Hombres
14215,RAFAEL MARIO,49 ,"55,9",Hombres
14646,ISIDRO ANGEL,47 ,"55,9",Hombres
16235,STEVEN ROBERT,42 ,"55,9",Hombres
16754,JOAQUIN PASCUAL,40 ,"55,9",Hombres
16797,LUIS LEOPOLDO,40 ,"55,9",Hombres
18426,ANGEL PAULINO,35 ,"55,9",Hombres
18923,EDUARDO PASCUAL,34 ,"55,9",Hombres
18931,ENRIQUE OSCAR,34 ,"55,9",Hombres
20241,XOSE ANTONIO,32 ,"55,9",Hombres
20525,JESUS CAYETANO,31 ,"55,9",Hombres
20561,JULIAN JORGE,31 ,"55,9",Hombres
21091,JESUS ANSELMO,30 ,"55,9",Hombres
21279,ROGELIO MIGUEL,30 ,"55,9",Hombres
21616,HERMINIO JESUS,29 ,"55,9",Hombres
22851,FELIX MARCOS,27 ,"55,9",Hombres
22898,GREGORIO PABLO,27 ,"55,9",Hombres
24191,CONSTANTINO JAVIER,25 ,"55,9",Hombres
24493,KISHORE,25 ,"55,9",Hombres
24544,MANUEL AMADEO,25 ,"55,9",Hombres
24881,ALFREDO EUGENIO,24 ,"55,9",Hombres
25297,JULIO SERGIO,24 ,"55,9",Hombres
25491,PLACIDO MIGUEL,24 ,"55,9",Hombres
25571,SIMON MARK,24 ,"55,9",Hombres
25597,TULLIO,24 ,"55,9",Hombres
25600,VALENTIN ENRIQUE,24 ,"55,9",Hombres
27067,JON MIREN,22 ,"55,9",Hombres
29423,NORBERTO MIGUEL,20 ,"55,9",Hombres
29664,TONINO,20 ,"55,9",Hombres
4,ANA MARIA,266.129 ,"55,9",Mujer
2043,AURICA,572 ,"55,9",Mujer
2376,LIDIIA,458 ,"55,9",Mujer
3371,CORALIA,280 ,"55,9",Mujer
3588,LILIANA BEATRIZ,257 ,"55,9",Mujer
3666,NORALBA,250 ,"55,9",Mujer
4647,GLORIA STELLA,182 ,"55,9",Mujer
4651,LUZ MYRIAM,182 ,"55,9",Mujer
4669,DOMNICA,181 ,"55,9",Mujer
4727,EMILIA ISABEL,178 ,"55,9",Mujer
5731,HERLINDA,140 ,"55,9",Mujer
5911,CARMEN BEGOÑA,135 ,"55,9",Mujer
6530,MZIA,120 ,"55,9",Mujer
6741,TODORKA,115 ,"55,9",Mujer
8647,TERESA ELENA,85 ,"55,9",Mujer
8966,ANTONIA LOURDES,80 ,"55,9",Mujer
10167,ISABEL AURORA,69 ,"55,9",Mujer
10812,ISABEL SOLEDAD,64 ,"55,9",Mujer
10921,ELENA FRANCISCA,63 ,"55,9",Mujer
11120,OLGA ALICIA,62 ,"55,9",Mujer
13083,BIRUTE,51 ,"55,9",Mujer
13702,ROSA PINO,49 ,"55,9",Mujer
14715,LEONOR PILAR,45 ,"55,9",Mujer
15945,GUIYING,41 ,"55,9",Mujer
17140,MARLENE JESUS,38 ,"55,9",Mujer
17584,MARTHA ESTHER,37 ,"55,9",Mujer
18089,NOEMI BEATRIZ,36 ,"55,9",Mujer
18657,YOLANDA FRANCISCA,35 ,"55,9",Mujer
18840,GLORIA MONTSERRAT,34 ,"55,9",Mujer
19367,JULIA NATIVIDAD,33 ,"55,9",Mujer
19465,MARIBEL COROMOTO,33 ,"55,9",Mujer
20915,CARMEN AFRICA,30 ,"55,9",Mujer
21672,FRIEDERIKE,29 ,"55,9",Mujer
21934,NORMA IRIS,29 ,"55,9",Mujer
21999,RUXANDA,29 ,"55,9",Mujer
22440,JOSEFA EVA,28 ,"55,9",Mujer
22691,RONCESVALLES,28 ,"55,9",Mujer
22892,BERTILIA,27 ,"55,9",Mujer
23271,MARIE ELISABETH,27 ,"55,9",Mujer
24.532,BLANCA SILVIA,25 ,"55,9",Mujer
24.554,CARMEN NELLY,25 ,"55,9",Mujer
24.673,FLOR ESTHER,25 ,"55,9",Mujer
25.111,ROSA REYES,25 ,"55,9",Mujer
26.132,VIVIANA EDITH,24 ,"55,9",Mujer
26.250,ANA RUFINA,23 ,"55,9",Mujer
27.040,ROSARIO MAGDALENA,23 ,"55,9",Mujer
27.687,ISABEL SOCORRO,22 ,"55,9",Mujer
27.950,MARTHA ESTELA,22 ,"55,9",Mujer
28.486,AUREA ISABEL,21 ,"55,9",Mujer
29.064,LUZ BENIGNA,21 ,"55,9",Mujer
29.397,ROSELYNE,21 ,"55,9",Mujer
29.687,ALISON JAYNE,20 ,"55,9",Mujer
29.848,CHUNZHU,20 ,"55,9",Mujer
30.082,GUIRONG,20 ,"55,9",Mujer
30.478,MERCEDES MONICA,20 ,"55,9",Mujer
60,SALVADOR,73.895 ,"55,8",Hombres
1784,ANGEL CUSTODIO,684 ,"55,8",Hombres
1994,ANTONIO DOMINGO,589 ,"55,8",Hombres
2078,JOSE GONZALO,554 ,"55,8",Hombres
2176,ANTONIO AGUSTIN,517 ,"55,8",Hombres
2488,JOSE ELOY,432 ,"55,8",Hombres
3095,DIRK,319 ,"55,8",Hombres
3784,CESAR CARLOS,248 ,"55,8",Hombres
4972,JOSE LEOPOLDO,176 ,"55,8",Hombres
5061,MANUEL OSCAR,172 ,"55,8",Hombres
6582,ENRIQUE JOAQUIN,126 ,"55,8",Hombres
7747,ANSELMO JOSE,103 ,"55,8",Hombres
7781,PEDRO ADOLFO,103 ,"55,8",Hombres
7863,CARMELO FRANCISCO,101 ,"55,8",Hombres
7882,HILARION,101 ,"55,8",Hombres
8392,DAVID THOMAS,93 ,"55,8",Hombres
8442,XOSE RAMON,93 ,"55,8",Hombres
8616,ATILIO,90 ,"55,8",Hombres
8940,FELICE,86 ,"55,8",Hombres
9506,VICENTE JORGE,80 ,"55,8",Hombres
9789,RAFAEL JULIO,77 ,"55,8",Hombres
10214,ROMANO,73 ,"55,8",Hombres
10402,LEOPOLDO MANUEL,71 ,"55,8",Hombres
10837,JUAN OCTAVIO,68 ,"55,8",Hombres
11463,BERNARDO JUAN,63 ,"55,8",Hombres
11822,JESUS CLEMENTE,61 ,"55,8",Hombres
12179,LAUREANO JOSE,59 ,"55,8",Hombres
12282,CRISTOBAL JUAN,58 ,"55,8",Hombres
12301,FERNANDO JAIME,58 ,"55,8",Hombres
12652,EMILIO RICARDO,56 ,"55,8",Hombres
12941,ROQUE LUIS,55 ,"55,8",Hombres
14755,RICHARD MARK,47 ,"55,8",Hombres
15114,ANGEL FIDEL,45 ,"55,8",Hombres
15755,FRANCISCO CLAUDIO,43 ,"55,8",Hombres
16168,MIGUEL CESAR,42 ,"55,8",Hombres
16222,ROSENDO MANUEL,42 ,"55,8",Hombres
16301,ANDREW RICHARD,41 ,"55,8",Hombres
16683,EMILIO ALFREDO,40 ,"55,8",Hombres
16868,RICARDO LORENZO,40 ,"55,8",Hombres
17144,LUIS EVARISTO,39 ,"55,8",Hombres
18351,SANTIAGO GREGORIO,36 ,"55,8",Hombres
18603,JOSE FROILAN,35 ,"55,8",Hombres
21607,GUSTAVO HORACIO,29 ,"55,8",Hombres
21954,VICTOR ISIDRO,29 ,"55,8",Hombres
22392,LUIS AMADEO,28 ,"55,8",Hombres
22981,JESUS DELFIN,27 ,"55,8",Hombres
23211,ROSSANO,27 ,"55,8",Hombres
23692,JOSE CUSTODIO,26 ,"55,8",Hombres
24231,DOMINGO JOAQUIN,25 ,"55,8",Hombres
24639,OCTAVIO RAFAEL,25 ,"55,8",Hombres
24856,AGUSTIN BERNARDO,24 ,"55,8",Hombres
24898,ANDREW STUART,24 ,"55,8",Hombres
24973,CARLOS ANSELMO,24 ,"55,8",Hombres
25585,TEODORO LUIS,24 ,"55,8",Hombres
26364,PEDRO CLAVER,23 ,"55,8",Hombres
26459,SERVANDO ANTONIO,23 ,"55,8",Hombres
26496,TOMAS MARIANO,23 ,"55,8",Hombres
27234,MIGUEL CANDIDO,22 ,"55,8",Hombres
29208,JUSTO ANDRES,20 ,"55,8",Hombres
29645,TEODORO MIGUEL,20 ,"55,8",Hombres
530,MARIA EMILIA,4.241 ,"55,8",Mujer
837,MILAGROSA,2.243 ,"55,8",Mujer
962,ANA DOLORES,1.858 ,"55,8",Mujer
1245,LUZ DARY,1.291 ,"55,8",Mujer
1584,MARIOARA,873 ,"55,8",Mujer
2216,MARIA APARECIDA,505 ,"55,8",Mujer
2787,HILDA MARIA,363 ,"55,8",Mujer
2912,JULIE ANN,342 ,"55,8",Mujer
2930,GIUSEPPINA,340 ,"55,8",Mujer
3082,MARIA CAMPO,317 ,"55,8",Mujer
3701,DORA MARIA,246 ,"55,8",Mujer
4079,ROZALIA,217 ,"55,8",Mujer
5292,MARIA VINYET,155 ,"55,8",Mujer
5536,NELLY MARIA,146 ,"55,8",Mujer
7035,ELSY,108 ,"55,8",Mujer
7266,CARMEN GRACIELA,104 ,"55,8",Mujer
7521,GRACIELA CARMEN,100 ,"55,8",Mujer
7619,ROSA CATALINA,99 ,"55,8",Mujer
8364,GLADYS CECILIA,88 ,"55,8",Mujer
8980,DORA ELENA,80 ,"55,8",Mujer
9040,RAVECA,80 ,"55,8",Mujer
10629,CAROLINE ANNE,65 ,"55,8",Mujer
10652,FENGYING,65 ,"55,8",Mujer
11280,PILAR LOURDES,61 ,"55,8",Mujer
12106,MANUELA INMACULADA,56 ,"55,8",Mujer
12285,LINDA ELIZABETH,55 ,"55,8",Mujer
12664,CARMEN REGINA,53 ,"55,8",Mujer
14461,MIREN ELIXABET,46 ,"55,8",Mujer
14506,ROSA SOLEDAD,46 ,"55,8",Mujer
14999,JOSEFINA ALTAGRACIA,44 ,"55,8",Mujer
15167,ADELINA CARMEN,43 ,"55,8",Mujer
15431,ROSALIA PILAR,43 ,"55,8",Mujer
15687,MARGARITA PINO,42 ,"55,8",Mujer
17660,ROSA HILDA,37 ,"55,8",Mujer
19471,MARLENE SOCORRO,33 ,"55,8",Mujer
20716,ROSA AMOR,31 ,"55,8",Mujer
20745,SILVIA GLADYS,31 ,"55,8",Mujer
21250,MIREN EGUSKIÑE,30 ,"55,8",Mujer
21804,LUISA CECILIA,29 ,"55,8",Mujer
22257,DANGUOLE,28 ,"55,8",Mujer
22315,EUFEMIA MARIA,28 ,"55,8",Mujer
22957,CUSTODIA MARIA,27 ,"55,8",Mujer
23827,FRANCISCA ESTER,26 ,"55,8",Mujer
24003,LINA CARMEN,26 ,"55,8",Mujer
25.329,ANA ENGRACIA,24 ,"55,8",Mujer
25.479,CUIZHU,24 ,"55,8",Mujer
25.821,MARCIA CARMEN,24 ,"55,8",Mujer
25.846,MARIA RIERA,24 ,"55,8",Mujer
26.650,JOSEFA PATRICIA,23 ,"55,8",Mujer
26.956,NUBIA SOCORRO,23 ,"55,8",Mujer
27.016,RAQUEL NATIVIDAD,23 ,"55,8",Mujer
27.097,SOLEDAD PINO,23 ,"55,8",Mujer
27.134,TERESA SOCORRO,23 ,"55,8",Mujer
27.747,JUANA ANGELICA,22 ,"55,8",Mujer
30.758,SONIA GLADYS,20 ,"55,8",Mujer
88,JOSEP,41.104 ,"55,7",Hombres
440,JOSE FELIX,4.501 ,"55,7",Hombres
601,PEDRO JUAN,3.039 ,"55,7",Hombres
803,CARLOS MARIA,1.974 ,"55,7",Hombres
2286,JUAN CARMELO,485 ,"55,7",Hombres
2464,EDILBERTO,438 ,"55,7",Hombres
2594,JOSE FIDEL,408 ,"55,7",Hombres
2668,ENRIQUE JUAN,390 ,"55,7",Hombres
3016,MANUEL JORGE,330 ,"55,7",Hombres
3730,SEGUNDO MANUEL,253 ,"55,7",Hombres
3751,JOSEBA KOLDOBIKA,251 ,"55,7",Hombres
3967,RAINER,235 ,"55,7",Hombres
4842,TOMAS LUIS,181 ,"55,7",Hombres
6378,MANUEL GERMAN,131 ,"55,7",Hombres
6479,CANDIDO MANUEL,128 ,"55,7",Hombres
6762,MICHAEL THOMAS,123 ,"55,7",Hombres
7212,SANTIAGO PEDRO,114 ,"55,7",Hombres
7498,GREGORIO MIGUEL,108 ,"55,7",Hombres
7712,IAN JAMES,104 ,"55,7",Hombres
7727,MANUEL PASCUAL,104 ,"55,7",Hombres
7839,RAFAEL JULIAN,102 ,"55,7",Hombres
8161,VICENTE PABLO,97 ,"55,7",Hombres
9863,JUAN ROGELIO,76 ,"55,7",Hombres
9991,SERAFI,75 ,"55,7",Hombres
11233,JOSE AMANCIO,65 ,"55,7",Hombres
11498,FLORENCIO JAVIER,63 ,"55,7",Hombres
11721,RAMON GUILLERMO,62 ,"55,7",Hombres
12496,ION IÑAKI,57 ,"55,7",Hombres
13106,MARCIAL JOSE,54 ,"55,7",Hombres
13448,FRANCISCO CECILIO,52 ,"55,7",Hombres
14025,WILLIAM THOMAS,50 ,"55,7",Hombres
14176,MARCELINO JAVIER,49 ,"55,7",Hombres
14430,LINO ANTONIO,48 ,"55,7",Hombres
15261,LESZEK,45 ,"55,7",Hombres
15959,ALFREDO EMILIO,42 ,"55,7",Hombres
17403,FRANCISCO ELISEO,38 ,"55,7",Hombres
18399,ADRIAAN,35 ,"55,7",Hombres
18498,ENRIQUE AUGUSTO,35 ,"55,7",Hombres
19164,PAUL ALAN,34 ,"55,7",Hombres
19752,ADELTO,32 ,"55,7",Hombres
21025,GASPAR FRANCISCO,30 ,"55,7",Hombres
21444,CARLOS MARCELINO,29 ,"55,7",Hombres
21546,EUSEBIO CARLOS,29 ,"55,7",Hombres
21663,JESUS ABELARDO,29 ,"55,7",Hombres
23174,PAUL DOUGLAS,27 ,"55,7",Hombres
23387,ANDRZEJ STANISLAW,26 ,"55,7",Hombres
24694,RAMON REYES,25 ,"55,7",Hombres
24705,REMIGIO JOSE,25 ,"55,7",Hombres
25070,EMILIO GERMAN,24 ,"55,7",Hombres
25939,FLORENTINO JESUS,23 ,"55,7",Hombres
28140,LUIS UBALDO,21 ,"55,7",Hombres
28835,EMILIANO CARLOS,20 ,"55,7",Hombres
29463,PEDRO ILDEFONSO,20 ,"55,7",Hombres
29595,SEGUNDO GUSTAVO,20 ,"55,7",Hombres
240,MARIA REYES,13.816 ,"55,7",Mujer
1235,MARIA PUERTO,1.304 ,"55,7",Mujer
1738,CARMEN ROSARIO,753 ,"55,7",Mujer
1902,LUZ AMPARO,652 ,"55,7",Mujer
2184,CONSTANTA,522 ,"55,7",Mujer
3120,ANA MATILDE,311 ,"55,7",Mujer
3260,MARTA ROSA,295 ,"55,7",Mujer
4888,ANA FE,171 ,"55,7",Mujer
5103,ADELA CARMEN,162 ,"55,7",Mujer
6099,JUANA INES,130 ,"55,7",Mujer
6171,BOZENA,128 ,"55,7",Mujer
6201,ALBA NELLY,127 ,"55,7",Mujer
7911,BEATRIZ ALICIA,94 ,"55,7",Mujer
7944,MARIA ROSARIA,94 ,"55,7",Mujer
8140,DORIS ELENA,91 ,"55,7",Mujer
8401,ROSA LINA,88 ,"55,7",Mujer
8441,GENOVEVA MARIA,87 ,"55,7",Mujer
9728,MARGARITA LUCIA,73 ,"55,7",Mujer
10163,INES MARGARITA,69 ,"55,7",Mujer
10992,NORMA CARMEN,63 ,"55,7",Mujer
11375,KAREN MARIE,60 ,"55,7",Mujer
11593,MILAGROS JOSEFINA,59 ,"55,7",Mujer
11741,MANUELA ELENA,58 ,"55,7",Mujer
12319,MIREN ARGIA,55 ,"55,7",Mujer
13740,ZAMFIRA,49 ,"55,7",Mujer
14907,AURORA MARGARITA,44 ,"55,7",Mujer
15693,MARIA NOHELIA,42 ,"55,7",Mujer
15715,MERCEDES INMACULADA,42 ,"55,7",Mujer
16002,LILIA ROSA,41 ,"55,7",Mujer
16066,MONTSERRAT TERESA,41 ,"55,7",Mujer
16456,PATRICIA GRACIELA,40 ,"55,7",Mujer
16693,JULIA YOLANDA,39 ,"55,7",Mujer
17543,LUZ AMADA,37 ,"55,7",Mujer
19108,SUZHU,34 ,"55,7",Mujer
19365,JUANA SOCORRO,33 ,"55,7",Mujer
