CUSEC,Nivel,vivienda turistica,plazas,Porcentaje vivienda turistica,PERIODO,PROV_LITERAL,MUN_LITERAL
0924601001,Secciones,0,0,"0,00",2024M11,Burgos,Palacios de la Sierra
0924701001,Secciones,0,0,,2024M11,Burgos,Palacios de Riopisuerga
0924801001,Secciones,0,0,"0,00",2024M11,Burgos,Palazuelos de la Sierra
0924901001,Secciones,0,0,"0,00",2024M11,Burgos,Palazuelos de Muñó
0925001001,Secciones,4,29,"1,12",2024M11,Burgos,Pampliega
0925101001,Secciones,4,41,"0,89",2024M11,Burgos,Pancorbo
0925301001,Secciones,0,0,"0,00",2024M11,Burgos,Pardilla
0925501001,Secciones,1,4,"0,65",2024M11,Burgos,Partido de la Sierra en Tobalina
0925601001,Secciones,1,6,"0,15",2024M11,Burgos,Pedrosa de Duero
0925701001,Secciones,0,0,"0,00",2024M11,Burgos,Pedrosa del Páramo
0925801001,Secciones,0,0,"0,00",2024M11,Burgos,Pedrosa del Príncipe
0925901001,Secciones,0,0,"0,00",2024M11,Burgos,Pedrosa de Río Úrbel
0926101001,Secciones,3,16,"0,51",2024M11,Burgos,Peñaranda de Duero
0926201001,Secciones,2,18,"1,12",2024M11,Burgos,Peral de Arlanza
0926501001,Secciones,0,0,"0,00",2024M11,Burgos,Piérnigas
0926601001,Secciones,3,18,"1,61",2024M11,Burgos,Pineda de la Sierra
0926701001,Secciones,0,0,"0,00",2024M11,Burgos,Pineda Trasmonte
0926801001,Secciones,1,16,"0,52",2024M11,Burgos,Pinilla de los Barruecos
0926901001,Secciones,0,0,"0,00",2024M11,Burgos,Pinilla de los Moros
0927001001,Secciones,2,14,"1,13",2024M11,Burgos,Pinilla Trasmonte
0927201001,Secciones,5,29,"0,55",2024M11,Burgos,Poza de la Sal
0927301001,Secciones,0,0,"0,00",2024M11,Burgos,Prádanos de Bureba
0927401001,Secciones,4,34,"0,32",2024M11,Burgos,Pradoluengo
0927501001,Secciones,1,5,"0,33",2024M11,Burgos,Presencio
0927601001,Secciones,2,16,"0,42",2024M11,Burgos,"Puebla de Arganzón, La"
0927701001,Secciones,0,0,"0,00",2024M11,Burgos,Puentedura
0927901001,Secciones,1,12,"0,30",2024M11,Burgos,Quemada
0928001001,Secciones,0,0,"0,00",2024M11,Burgos,Quintanabureba
0928101001,Secciones,2,14,"1,14",2024M11,Burgos,Quintana del Pidio
0928301001,Secciones,1,10,"0,71",2024M11,Burgos,Quintanaélez
0928701001,Secciones,0,0,"0,00",2024M11,Burgos,Quintanaortuño
0928801001,Secciones,0,0,"0,00",2024M11,Burgos,Quintanapalla
0928901002,Secciones,3,24,"0,33",2024M11,Burgos,Quintanar de la Sierra
0928901001,Secciones,1,16,"0,15",2024M11,Burgos,Quintanar de la Sierra
0929201001,Secciones,0,0,"0,00",2024M11,Burgos,Quintanavides
0929401001,Secciones,0,0,"0,00",2024M11,Burgos,Quintanilla de la Mata
0929501001,Secciones,0,0,"0,00",2024M11,Burgos,Quintanilla del Coco
0929701001,Secciones,1,14,"0,37",2024M11,Burgos,"Quintanillas, Las"
0929801001,Secciones,0,0,"0,00",2024M11,Burgos,Quintanilla San García
0930101001,Secciones,5,50,"0,88",2024M11,Burgos,Quintanilla Vivar
0930201001,Secciones,8,55,"4,21",2024M11,Burgos,Rabanera del Pinar
0930301001,Secciones,0,0,"0,00",2024M11,Burgos,Rábanos
0930401001,Secciones,0,0,"0,00",2024M11,Burgos,Rabé de las Calzadas
0930601001,Secciones,0,0,"0,00",2024M11,Burgos,Rebolledo de la Torre
0930701001,Secciones,0,0,"0,00",2024M11,Burgos,Redecilla del Camino
0930801001,Secciones,1,5,"0,83",2024M11,Burgos,Redecilla del Campo
0930901001,Secciones,1,9,"0,31",2024M11,Burgos,Regumiel de la Sierra
0931001001,Secciones,0,0,,2024M11,Burgos,Reinoso
0931101001,Secciones,0,0,"0,00",2024M11,Burgos,Retuerta
0931201001,Secciones,1,8,"0,43",2024M11,Burgos,"Revilla y Ahedo, La"
0931401001,Secciones,0,0,"0,00",2024M11,Burgos,Revilla del Campo
0931501001,Secciones,2,11,"0,40",2024M11,Burgos,Revillarruz
0931601001,Secciones,1,15,"0,61",2024M11,Burgos,Revilla Vallejera
0931701001,Secciones,0,0,,2024M11,Burgos,Rezmondo
0931801001,Secciones,0,0,"0,00",2024M11,Burgos,Riocavado de la Sierra
0932101002,Secciones,4,21,"0,56",2024M11,Burgos,Roa
0932101001,Secciones,2,14,"0,22",2024M11,Burgos,Roa
0932301001,Secciones,0,0,"0,00",2024M11,Burgos,Rojas
0932501001,Secciones,0,0,"0,00",2024M11,Burgos,Royuela de Río Franco
0932601001,Secciones,1,6,"0,69",2024M11,Burgos,Rubena
0932701001,Secciones,0,0,"0,00",2024M11,Burgos,Rublacedo de Abajo
0932801001,Secciones,0,0,"0,00",2024M11,Burgos,Rucandio
0932901001,Secciones,0,0,"0,00",2024M11,Burgos,Salas de Bureba
0933001001,Secciones,0,0,"0,00",2024M11,Burgos,Salas de los Infantes
0933201001,Secciones,0,0,"0,00",2024M11,Burgos,Saldaña de Burgos
0933401001,Secciones,0,0,"0,00",2024M11,Burgos,Salinillas de Bureba
0933501001,Secciones,1,8,"0,62",2024M11,Burgos,San Adrián de Juarros
0933701001,Secciones,0,0,"0,00",2024M11,Burgos,San Juan del Monte
0933801001,Secciones,0,0,"0,00",2024M11,Burgos,San Mamés de Burgos
0933901001,Secciones,4,37,"1,53",2024M11,Burgos,San Martín de Rubiales
0934001001,Secciones,3,30,"2,24",2024M11,Burgos,San Millán de Lara
0934301001,Secciones,0,0,"0,00",2024M11,Burgos,Santa Cecilia
0934501001,Secciones,0,0,"0,00",2024M11,Burgos,Santa Cruz de la Salceda
0934601001,Secciones,0,0,"0,00",2024M11,Burgos,Santa Cruz del Valle Urbión
0934701001,Secciones,0,0,"0,00",2024M11,Burgos,Santa Gadea del Cid
0934801001,Secciones,0,0,"0,00",2024M11,Burgos,Santa Inés
0935001001,Secciones,1,10,"0,18",2024M11,Burgos,Santa María del Campo
0935101001,Secciones,0,0,"0,00",2024M11,Burgos,Santa María del Invierno
0935201001,Secciones,1,4,"0,60",2024M11,Burgos,Santa María del Mercadillo
0935301001,Secciones,0,0,"0,00",2024M11,Burgos,Santa María Ribarredonda
0935401001,Secciones,0,0,"0,00",2024M11,Burgos,Santa Olalla de Bureba
0935501001,Secciones,0,0,"0,00",2024M11,Burgos,Santibáñez de Esgueva
0935601001,Secciones,3,22,"2,63",2024M11,Burgos,Santibáñez del Val
0935801001,Secciones,16,131,"2,90",2024M11,Burgos,Santo Domingo de Silos
0936001001,Secciones,2,8,"2,74",2024M11,Burgos,San Vicente del Valle
0936101001,Secciones,0,0,"0,00",2024M11,Burgos,Sargentes de la Lora
0936201001,Secciones,0,0,"0,00",2024M11,Burgos,Sarracín
0936301001,Secciones,5,57,"0,45",2024M11,Burgos,Sasamón
0936501001,Secciones,0,0,"0,00",2024M11,Burgos,"Sequera de Haza, La"
0936601001,Secciones,0,0,"0,00",2024M11,Burgos,Solarana
0936801001,Secciones,0,0,,2024M11,Burgos,Sordillos
0936901001,Secciones,0,0,"0,00",2024M11,Burgos,Sotillo de la Ribera
0937201001,Secciones,0,0,"0,00",2024M11,Burgos,Sotragero
0937301001,Secciones,1,8,"0,18",2024M11,Burgos,Sotresgudo
0937401001,Secciones,0,0,"0,00",2024M11,Burgos,Susinos del Páramo
0937501001,Secciones,0,0,"0,00",2024M11,Burgos,Tamarón
0937701001,Secciones,1,7,"0,23",2024M11,Burgos,Tardajos
0937801001,Secciones,0,0,"0,00",2024M11,Burgos,Tejada
0938001001,Secciones,0,0,"0,00",2024M11,Burgos,Terradillos de Esgueva
0938101001,Secciones,0,0,"0,00",2024M11,Burgos,Tinieblas de la Sierra
0938201001,Secciones,0,0,"0,00",2024M11,Burgos,Tobar
0938401001,Secciones,0,0,"0,00",2024M11,Burgos,Tordómar
0938601001,Secciones,0,0,"0,00",2024M11,Burgos,Torrecilla del Monte
0938701001,Secciones,0,0,"0,00",2024M11,Burgos,Torregalindo
0938801001,Secciones,0,0,"0,00",2024M11,Burgos,Torrelara
0938901001,Secciones,0,0,"0,00",2024M11,Burgos,Torrepadre
0939001001,Secciones,0,0,"0,00",2024M11,Burgos,Torresandino
0939101001,Secciones,0,0,"0,00",2024M11,Burgos,Tórtoles de Esgueva
0939201001,Secciones,0,0,"0,00",2024M11,Burgos,Tosantos
0939401001,Secciones,6,34,"0,42",2024M11,Burgos,Trespaderne
0939501001,Secciones,0,0,"0,00",2024M11,Burgos,Tubilla del Agua
0939601001,Secciones,4,25,"1,99",2024M11,Burgos,Tubilla del Lago
0939801001,Secciones,0,0,"0,00",2024M11,Burgos,Úrbel del Castillo
0940001001,Secciones,6,45,"1,50",2024M11,Burgos,Vadocondes
0940301001,Secciones,1,9,"0,45",2024M11,Burgos,Valdeande
0940501001,Secciones,0,0,"0,00",2024M11,Burgos,Valdezate
0940601001,Secciones,0,0,"0,00",2024M11,Burgos,Valdorros
0940701001,Secciones,3,29,"2,11",2024M11,Burgos,Valmala
0940801001,Secciones,0,0,"0,00",2024M11,Burgos,Vallarta de Bureba
0940901001,Secciones,0,0,"0,00",2024M11,Burgos,Valle de Manzanedo
0941003001,Secciones,2,23,"0,26",2024M11,Burgos,Valle de Mena
0941002001,Secciones,6,59,"0,60",2024M11,Burgos,Valle de Mena
0941001001,Secciones,7,52,"0,31",2024M11,Burgos,Valle de Mena
0941101001,Secciones,0,0,"0,00",2024M11,Burgos,Valle de Oca
0941201001,Secciones,9,48,"0,50",2024M11,Burgos,Valle de Tobalina
0941301001,Secciones,3,24,"0,25",2024M11,Burgos,Valle de Valdebezana
0941401001,Secciones,4,42,"1,24",2024M11,Burgos,Valle de Valdelaguna
0941501001,Secciones,0,0,"0,00",2024M11,Burgos,Valle de Valdelucio
0941601001,Secciones,2,15,"1,16",2024M11,Burgos,Valle de Zamanzas
0941701001,Secciones,0,0,"0,00",2024M11,Burgos,Vallejera
0941801001,Secciones,0,0,"0,00",2024M11,Burgos,Valles de Palenzuela
0941901001,Secciones,0,0,"0,00",2024M11,Burgos,Valluércanes
0942101001,Secciones,3,26,"0,98",2024M11,Burgos,"Vid y Barrios, La"
0942201001,Secciones,0,0,"0,00",2024M11,Burgos,"Vid de Bureba, La"
0942301001,Secciones,0,0,"0,00",2024M11,Burgos,Vileña
0942401001,Secciones,0,0,,2024M11,Burgos,Viloria de Rioja
0942501001,Secciones,0,0,"0,00",2024M11,Burgos,Vilviestre del Pinar
0942701002,Secciones,1,10,"0,09",2024M11,Burgos,Villadiego
0942701001,Secciones,1,7,"0,14",2024M11,Burgos,Villadiego
0942801001,Secciones,1,6,"0,80",2024M11,Burgos,Villaescusa de Roa
0942901001,Secciones,0,0,"0,00",2024M11,Burgos,Villaescusa la Sombría
0943001001,Secciones,0,0,"0,00",2024M11,Burgos,Villaespasa
0943101001,Secciones,0,0,"0,00",2024M11,Burgos,Villafranca Montes de Oca
0943201001,Secciones,0,0,"0,00",2024M11,Burgos,Villafruela
0943301001,Secciones,3,26,"2,61",2024M11,Burgos,Villagalijo
0943401001,Secciones,0,0,"0,00",2024M11,Burgos,Villagonzalo Pedernales
0943701001,Secciones,2,19,"0,56",2024M11,Burgos,Villahoz
0943801001,Secciones,0,0,"0,00",2024M11,Burgos,Villalba de Duero
0943901001,Secciones,1,1,"0,12",2024M11,Burgos,Villalbilla de Burgos
0944001001,Secciones,1,10,"0,65",2024M11,Burgos,Villalbilla de Gumiel
0944101001,Secciones,0,0,"0,00",2024M11,Burgos,Villaldemiro
0944201001,Secciones,2,12,"0,41",2024M11,Burgos,Villalmanzo
0944301001,Secciones,0,0,"0,00",2024M11,Burgos,Villamayor de los Montes
0944401001,Secciones,0,0,"0,00",2024M11,Burgos,Villamayor de Treviño
0944501001,Secciones,2,20,"1,74",2024M11,Burgos,Villambistia
0944601001,Secciones,0,0,,2024M11,Burgos,Villamedianilla
0944701001,Secciones,0,0,"0,00",2024M11,Burgos,Villamiel de la Sierra
0944801001,Secciones,0,0,"0,00",2024M11,Burgos,Villangómez
0944901001,Secciones,0,0,"0,00",2024M11,Burgos,Villanueva de Argaño
0945001001,Secciones,2,16,,2024M11,Burgos,Villanueva de Carazo
0945101001,Secciones,2,17,"0,73",2024M11,Burgos,Villanueva de Gumiel
0945401001,Secciones,0,0,"0,00",2024M11,Burgos,Villanueva de Teba
0945501001,Secciones,0,0,"0,00",2024M11,Burgos,Villaquirán de la Puebla
0945601001,Secciones,0,0,"0,00",2024M11,Burgos,Villaquirán de los Infantes
0945801001,Secciones,1,4,"0,25",2024M11,Burgos,Villariezo
0946001001,Secciones,0,0,"0,00",2024M11,Burgos,Villasandino
0946301001,Secciones,3,38,"0,82",2024M11,Burgos,Villasur de Herreros
0946401001,Secciones,0,0,"0,00",2024M11,Burgos,Villatuelda
0946601001,Secciones,0,0,"0,00",2024M11,Burgos,Villaverde del Monte
0946701001,Secciones,0,0,"0,00",2024M11,Burgos,Villaverde-Mogina
0947101001,Secciones,0,0,"0,00",2024M11,Burgos,Villayerno Morquillas
0947201001,Secciones,0,0,"0,00",2024M11,Burgos,Villazopeque
0947301001,Secciones,0,0,"0,00",2024M11,Burgos,Villegas
0947601001,Secciones,0,0,"0,00",2024M11,Burgos,Villoruebo
0947801001,Secciones,0,0,"0,00",2024M11,Burgos,Vizcaínos
0948001001,Secciones,0,0,"0,00",2024M11,Burgos,Zael
0948201001,Secciones,0,0,"0,00",2024M11,Burgos,Zarzosa de Río Pisuerga
0948301001,Secciones,3,24,"0,95",2024M11,Burgos,Zazuar
0948501001,Secciones,0,0,"0,00",2024M11,Burgos,Zuñeda
0990101001,Secciones,2,20,"0,34",2024M11,Burgos,Quintanilla del Agua y Tordueles
0990201001,Secciones,1,16,"0,15",2024M11,Burgos,Valle de Santibáñez
0990301003,Secciones,12,45,"0,61",2024M11,Burgos,Villarcayo de Merindad de Castilla la Vieja
0990301001,Secciones,8,38,"0,51",2024M11,Burgos,Villarcayo de Merindad de Castilla la Vieja
0990301002,Secciones,12,53,"0,49",2024M11,Burgos,Villarcayo de Merindad de Castilla la Vieja
0990401001,Secciones,0,0,"0,00",2024M11,Burgos,Valle de las Navas
0990501001,Secciones,9,69,"0,86",2024M11,Burgos,Valle de Sedano
0990601001,Secciones,2,16,"0,16",2024M11,Burgos,Merindad de Río Ubierna
0990701001,Secciones,7,28,"0,64",2024M11,Burgos,Alfoz de Quintanadueñas
0990801001,Secciones,6,48,"0,43",2024M11,Burgos,Valle de Losa
1000101001,Secciones,4,15,"1,57",2024M11,Cáceres,Abadía
1000201001,Secciones,2,12,"0,45",2024M11,Cáceres,Abertura
1000301001,Secciones,6,24,"0,63",2024M11,Cáceres,Acebo
1000401001,Secciones,1,7,"0,14",2024M11,Cáceres,Acehúche
1000501001,Secciones,0,0,"0,00",2024M11,Cáceres,Aceituna
1000601001,Secciones,5,48,"0,40",2024M11,Cáceres,Ahigal
1000701001,Secciones,1,10,"0,11",2024M11,Cáceres,Albalá
1000801001,Secciones,3,18,"0,20",2024M11,Cáceres,Alcántara
1000901001,Secciones,0,0,"0,00",2024M11,Cáceres,Alcollarín
1001001002,Secciones,1,6,"0,09",2024M11,Cáceres,Alcuéscar
1001001001,Secciones,5,25,"0,53",2024M11,Cáceres,Alcuéscar
1001101001,Secciones,0,0,"0,00",2024M11,Cáceres,Aldeacentenera
1001201001,Secciones,0,0,"0,00",2024M11,Cáceres,Aldea del Cano
1001301001,Secciones,2,16,"0,41",2024M11,Cáceres,"Aldea del Obispo, La"
1001401001,Secciones,14,80,"0,69",2024M11,Cáceres,Aldeanueva de la Vera
1001501001,Secciones,1,5,"0,11",2024M11,Cáceres,Aldeanueva del Camino
1001601001,Secciones,1,7,"0,48",2024M11,Cáceres,Aldehuela de Jerte
1001701001,Secciones,4,17,"0,26",2024M11,Cáceres,Alía
1001802001,Secciones,0,0,"0,00",2024M11,Cáceres,Aliseda
1001801001,Secciones,7,25,"0,98",2024M11,Cáceres,Aliseda
1001901001,Secciones,0,0,"0,00",2024M11,Cáceres,Almaraz
1002002001,Secciones,0,0,"0,00",2024M11,Cáceres,Almoharín
1002001001,Secciones,6,44,"0,71",2024M11,Cáceres,Almoharín
1002103002,Secciones,3,12,"0,42",2024M11,Cáceres,Arroyo de la Luz
1002103001,Secciones,0,0,"0,00",2024M11,Cáceres,Arroyo de la Luz
1002102002,Secciones,0,0,"0,00",2024M11,Cáceres,Arroyo de la Luz
1002102001,Secciones,0,0,"0,00",2024M11,Cáceres,Arroyo de la Luz
1002101002,Secciones,0,0,"0,00",2024M11,Cáceres,Arroyo de la Luz
1002101001,Secciones,0,0,"0,00",2024M11,Cáceres,Arroyo de la Luz
1002201001,Secciones,0,0,"0,00",2024M11,Cáceres,Arroyomolinos de la Vera
1002301001,Secciones,3,12,"0,38",2024M11,Cáceres,Arroyomolinos
1002401001,Secciones,4,19,"0,49",2024M11,Cáceres,Baños de Montemayor
1002501001,Secciones,1,6,"0,25",2024M11,Cáceres,Barrado
1002601001,Secciones,5,18,"0,65",2024M11,Cáceres,Belvís de Monroy
1002701001,Secciones,1,15,"0,81",2024M11,Cáceres,Benquerencia
1002801001,Secciones,2,11,"0,64",2024M11,Cáceres,Berrocalejo
1002901001,Secciones,2,4,"0,31",2024M11,Cáceres,Berzocana
1003001001,Secciones,0,0,"0,00",2024M11,Cáceres,Bohonal de Ibor
1003101001,Secciones,1,6,"0,23",2024M11,Cáceres,Botija
1003201002,Secciones,0,0,"0,00",2024M11,Cáceres,Brozas
1003201001,Secciones,1,2,"0,10",2024M11,Cáceres,Brozas
1003301001,Secciones,3,12,"0,37",2024M11,Cáceres,Cabañas del Castillo
1003401001,Secciones,4,19,"0,80",2024M11,Cáceres,Cabezabellosa
1003501002,Secciones,18,84,"1,65",2024M11,Cáceres,Cabezuela del Valle
1003501001,Secciones,9,49,"1,23",2024M11,Cáceres,Cabezuela del Valle
1003601001,Secciones,2,8,"0,45",2024M11,Cáceres,Cabrero
1003707001,Secciones,0,0,"0,00",2024M11,Cáceres,Cáceres
1003706005,Secciones,1,2,,2024M11,Cáceres,Cáceres
1003706003,Secciones,0,0,"0,00",2024M11,Cáceres,Cáceres
1003706002,Secciones,0,0,"0,00",2024M11,Cáceres,Cáceres
1003706001,Secciones,3,14,"0,13",2024M11,Cáceres,Cáceres
1003705005,Secciones,0,0,"0,00",2024M11,Cáceres,Cáceres
1003705004,Secciones,0,0,"0,00",2024M11,Cáceres,Cáceres
1003705003,Secciones,0,0,"0,00",2024M11,Cáceres,Cáceres
1003705002,Secciones,1,8,"0,09",2024M11,Cáceres,Cáceres
1003705001,Secciones,3,11,"0,25",2024M11,Cáceres,Cáceres
1003704025,Secciones,0,0,"0,00",2024M11,Cáceres,Cáceres
1003704024,Secciones,0,0,"0,00",2024M11,Cáceres,Cáceres
1003704022,Secciones,0,0,"0,00",2024M11,Cáceres,Cáceres
1003704021,Secciones,0,0,"0,00",2024M11,Cáceres,Cáceres
1003704020,Secciones,0,0,"0,00",2024M11,Cáceres,Cáceres
1003704018,Secciones,1,4,"0,12",2024M11,Cáceres,Cáceres
1003704017,Secciones,0,0,"0,00",2024M11,Cáceres,Cáceres
1003704016,Secciones,0,0,"0,00",2024M11,Cáceres,Cáceres
1003704014,Secciones,0,0,"0,00",2024M11,Cáceres,Cáceres
1003704013,Secciones,0,0,"0,00",2024M11,Cáceres,Cáceres
1003704012,Secciones,0,0,"0,00",2024M11,Cáceres,Cáceres
1003704011,Secciones,0,0,"0,00",2024M11,Cáceres,Cáceres
1003704010,Secciones,0,0,"0,00",2024M11,Cáceres,Cáceres
1003704009,Secciones,0,0,"0,00",2024M11,Cáceres,Cáceres
1003704008,Secciones,1,5,"0,11",2024M11,Cáceres,Cáceres
1003704006,Secciones,0,0,"0,00",2024M11,Cáceres,Cáceres
1003704005,Secciones,0,0,"0,00",2024M11,Cáceres,Cáceres
1003704004,Secciones,1,4,"0,06",2024M11,Cáceres,Cáceres
1003704003,Secciones,0,0,"0,00",2024M11,Cáceres,Cáceres
1003704002,Secciones,0,0,"0,00",2024M11,Cáceres,Cáceres
1003704001,Secciones,0,0,"0,00",2024M11,Cáceres,Cáceres
1003703007,Secciones,0,0,"0,00",2024M11,Cáceres,Cáceres
1003704007,Secciones,0,0,"0,00",2024M11,Cáceres,Cáceres
1003703006,Secciones,0,0,"0,00",2024M11,Cáceres,Cáceres
1003703005,Secciones,0,0,"0,00",2024M11,Cáceres,Cáceres
1003703004,Secciones,1,4,"0,13",2024M11,Cáceres,Cáceres
1003703003,Secciones,0,0,"0,00",2024M11,Cáceres,Cáceres
1003703002,Secciones,3,13,"0,54",2024M11,Cáceres,Cáceres
1003703001,Secciones,12,46,"1,09",2024M11,Cáceres,Cáceres
1003702013,Secciones,0,0,"0,00",2024M11,Cáceres,Cáceres
1003702012,Secciones,0,0,"0,00",2024M11,Cáceres,Cáceres
1003704015,Secciones,0,0,"0,00",2024M11,Cáceres,Cáceres
1003704019,Secciones,0,0,"0,00",2024M11,Cáceres,Cáceres
1003702011,Secciones,0,0,"0,00",2024M11,Cáceres,Cáceres
1003702010,Secciones,3,9,"0,55",2024M11,Cáceres,Cáceres
1003702009,Secciones,2,8,"0,66",2024M11,Cáceres,Cáceres
1003702008,Secciones,0,0,"0,00",2024M11,Cáceres,Cáceres
1003704023,Secciones,0,0,"0,00",2024M11,Cáceres,Cáceres
1003702007,Secciones,0,0,"0,00",2024M11,Cáceres,Cáceres
1003702006,Secciones,5,21,"0,48",2024M11,Cáceres,Cáceres
1003702005,Secciones,28,112,"5,48",2024M11,Cáceres,Cáceres
1003702004,Secciones,1,5,"0,13",2024M11,Cáceres,Cáceres
1003702003,Secciones,4,21,"0,51",2024M11,Cáceres,Cáceres
1003702002,Secciones,1,6,"0,14",2024M11,Cáceres,Cáceres
1003702001,Secciones,25,101,"4,34",2024M11,Cáceres,Cáceres
1003701017,Secciones,0,0,,2024M11,Cáceres,Cáceres
1003705006,Secciones,0,0,"0,00",2024M11,Cáceres,Cáceres
1003701016,Secciones,0,0,,2024M11,Cáceres,Cáceres
1003701015,Secciones,0,0,"0,00",2024M11,Cáceres,Cáceres
1003701014,Secciones,0,0,"0,00",2024M11,Cáceres,Cáceres
1003701013,Secciones,1,8,"0,12",2024M11,Cáceres,Cáceres
1003706004,Secciones,0,0,"0,00",2024M11,Cáceres,Cáceres
1003701012,Secciones,1,4,"0,16",2024M11,Cáceres,Cáceres
1003701011,Secciones,0,0,"0,00",2024M11,Cáceres,Cáceres
1003701010,Secciones,0,0,"0,00",2024M11,Cáceres,Cáceres
1003701009,Secciones,0,0,"0,00",2024M11,Cáceres,Cáceres
1003701008,Secciones,5,24,"0,56",2024M11,Cáceres,Cáceres
1003701007,Secciones,19,97,"4,34",2024M11,Cáceres,Cáceres
1003701006,Secciones,2,9,"0,13",2024M11,Cáceres,Cáceres
1003701005,Secciones,12,51,"3,33",2024M11,Cáceres,Cáceres
1003701004,Secciones,7,33,"0,62",2024M11,Cáceres,Cáceres
1003701003,Secciones,9,39,"0,77",2024M11,Cáceres,Cáceres
1003701002,Secciones,29,115,"4,71",2024M11,Cáceres,Cáceres
1003701001,Secciones,93,412,"10,75",2024M11,Cáceres,Cáceres
1003801001,Secciones,0,0,"0,00",2024M11,Cáceres,Cachorrilla
1003901001,Secciones,4,58,"0,98",2024M11,Cáceres,Cadalso
1004001001,Secciones,2,12,"0,38",2024M11,Cáceres,Calzadilla
1004101001,Secciones,1,9,"0,11",2024M11,Cáceres,Caminomorisco
1004201001,Secciones,0,0,"0,00",2024M11,Cáceres,Campillo de Deleitosa
1004301001,Secciones,4,18,"0,52",2024M11,Cáceres,Campo Lugar
1004402001,Secciones,10,52,"1,07",2024M11,Cáceres,Cañamero
1004401001,Secciones,4,34,"0,40",2024M11,Cáceres,Cañamero
1004501001,Secciones,1,12,"0,08",2024M11,Cáceres,Cañaveral
1004601001,Secciones,0,0,"0,00",2024M11,Cáceres,Carbajo
1004701001,Secciones,5,28,"0,67",2024M11,Cáceres,Carcaboso
1004801001,Secciones,10,30,"2,53",2024M11,Cáceres,Carrascalejo
1004903002,Secciones,5,22,"1,15",2024M11,Cáceres,Casar de Cáceres
1004903001,Secciones,7,51,"0,61",2024M11,Cáceres,Casar de Cáceres
1004902001,Secciones,2,6,"0,38",2024M11,Cáceres,Casar de Cáceres
1004901001,Secciones,0,0,"0,00",2024M11,Cáceres,Casar de Cáceres
1005001001,Secciones,1,10,"0,10",2024M11,Cáceres,Casar de Palomero
1005101001,Secciones,2,15,"0,49",2024M11,Cáceres,Casares de las Hurdes
1005201001,Secciones,2,10,"0,88",2024M11,Cáceres,Casas de Don Antonio
1005301001,Secciones,0,0,"0,00",2024M11,Cáceres,Casas de Don Gómez
1005401001,Secciones,2,11,"0,19",2024M11,Cáceres,Casas del Castañar
1005501001,Secciones,15,106,"2,54",2024M11,Cáceres,Casas del Monte
1005601001,Secciones,1,6,"0,15",2024M11,Cáceres,Casas de Millán
1005701001,Secciones,0,0,"0,00",2024M11,Cáceres,Casas de Miravete
1005801001,Secciones,1,6,"0,09",2024M11,Cáceres,Casatejada
1005901001,Secciones,0,0,"0,00",2024M11,Cáceres,Casillas de Coria
1006001001,Secciones,0,0,"0,00",2024M11,Cáceres,Castañar de Ibor
1006102001,Secciones,0,0,"0,00",2024M11,Cáceres,Ceclavín
1006101001,Secciones,2,10,"0,19",2024M11,Cáceres,Ceclavín
1006201001,Secciones,1,11,"0,22",2024M11,Cáceres,Cedillo
1006301001,Secciones,1,2,"0,53",2024M11,Cáceres,Cerezo
1006401001,Secciones,0,0,"0,00",2024M11,Cáceres,Cilleros
1006501001,Secciones,2,6,"0,65",2024M11,Cáceres,Collado de la Vera
1006601001,Secciones,0,0,"0,00",2024M11,Cáceres,Conquista de la Sierra
1006704001,Secciones,0,0,"0,00",2024M11,Cáceres,Coria
1006703001,Secciones,2,21,"0,23",2024M11,Cáceres,Coria
1006702003,Secciones,1,2,"0,09",2024M11,Cáceres,Coria
1006702002,Secciones,0,0,"0,00",2024M11,Cáceres,Coria
1006702001,Secciones,2,8,"0,32",2024M11,Cáceres,Coria
1006701004,Secciones,0,0,"0,00",2024M11,Cáceres,Coria
1006701003,Secciones,0,0,"0,00",2024M11,Cáceres,Coria
1006701002,Secciones,0,0,"0,00",2024M11,Cáceres,Coria
1006701001,Secciones,3,12,"0,30",2024M11,Cáceres,Coria
1006801001,Secciones,18,53,"1,91",2024M11,Cáceres,Cuacos de Yuste
1006901001,Secciones,2,9,"0,21",2024M11,Cáceres,"Cumbre, La"
1007001001,Secciones,0,0,"0,00",2024M11,Cáceres,Deleitosa
1007101001,Secciones,3,14,"1,14",2024M11,Cáceres,Descargamaría
1007201001,Secciones,1,4,"0,11",2024M11,Cáceres,Eljas
1007301001,Secciones,0,0,"0,00",2024M11,Cáceres,Escurial
1007501001,Secciones,1,16,"0,24",2024M11,Cáceres,Fresnedoso de Ibor
1007601001,Secciones,1,9,"0,13",2024M11,Cáceres,Galisteo
1007701001,Secciones,0,0,"0,00",2024M11,Cáceres,Garciaz
1007801001,Secciones,0,0,"0,00",2024M11,Cáceres,"Garganta, La"
1007901001,Secciones,3,17,"0,33",2024M11,Cáceres,Garganta la Olla
1008001001,Secciones,1,4,"0,25",2024M11,Cáceres,Gargantilla
1008101001,Secciones,0,0,"0,00",2024M11,Cáceres,Gargüera
1008202001,Secciones,0,0,"0,00",2024M11,Cáceres,Garrovillas de Alconétar
1008201001,Secciones,1,2,"0,12",2024M11,Cáceres,Garrovillas de Alconétar
1008301001,Secciones,1,6,"0,52",2024M11,Cáceres,Garvín
