CUSEC,Nivel,vivienda turistica,plazas,Porcentaje vivienda turistica,PERIODO,PROV_LITERAL,MUN_LITERAL
0105906003,Secciones,3,10,"0,36",2024M11,Araba/Álava,Vitoria-Gasteiz
0105905036,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105901018,Secciones,5,14,"0,54",2024M11,Araba/Álava,Vitoria-Gasteiz
0105905029,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105905037,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105902024,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105905035,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105905027,Secciones,1,2,"0,11",2024M11,Araba/Álava,Vitoria-Gasteiz
0105902035,Secciones,4,13,"0,42",2024M11,Araba/Álava,Vitoria-Gasteiz
0105905034,Secciones,1,2,"0,17",2024M11,Araba/Álava,Vitoria-Gasteiz
0105905023,Secciones,2,9,"0,29",2024M11,Araba/Álava,Vitoria-Gasteiz
0105905007,Secciones,1,4,"0,13",2024M11,Araba/Álava,Vitoria-Gasteiz
0105902022,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105902011,Secciones,1,4,"0,18",2024M11,Araba/Álava,Vitoria-Gasteiz
0105905009,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105904008,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105904006,Secciones,3,10,"0,41",2024M11,Araba/Álava,Vitoria-Gasteiz
0105902039,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105902017,Secciones,1,4,"0,14",2024M11,Araba/Álava,Vitoria-Gasteiz
0105905030,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105905012,Secciones,3,6,"0,37",2024M11,Araba/Álava,Vitoria-Gasteiz
0105905019,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105901013,Secciones,3,10,"0,27",2024M11,Araba/Álava,Vitoria-Gasteiz
0105904029,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105902015,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105901035,Secciones,1,2,"0,19",2024M11,Araba/Álava,Vitoria-Gasteiz
0105901031,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105902038,Secciones,2,4,"0,22",2024M11,Araba/Álava,Vitoria-Gasteiz
0105902019,Secciones,1,4,"0,13",2024M11,Araba/Álava,Vitoria-Gasteiz
0105901010,Secciones,3,12,"0,32",2024M11,Araba/Álava,Vitoria-Gasteiz
0105902036,Secciones,1,4,"0,14",2024M11,Araba/Álava,Vitoria-Gasteiz
0105905021,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105902023,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105902027,Secciones,1,6,"0,16",2024M11,Araba/Álava,Vitoria-Gasteiz
0105903015,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105902003,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105901029,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105902004,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105902010,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105904004,Secciones,4,18,"0,65",2024M11,Araba/Álava,Vitoria-Gasteiz
0105902006,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105901012,Secciones,7,29,"0,98",2024M11,Araba/Álava,Vitoria-Gasteiz
0105902032,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105902028,Secciones,3,7,"0,47",2024M11,Araba/Álava,Vitoria-Gasteiz
0105905039,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105902025,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105902037,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105902040,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105901040,Secciones,1,2,"0,20",2024M11,Araba/Álava,Vitoria-Gasteiz
0105902002,Secciones,1,2,"0,15",2024M11,Araba/Álava,Vitoria-Gasteiz
0105902001,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105904014,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105904027,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105904018,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105904032,Secciones,4,15,"0,56",2024M11,Araba/Álava,Vitoria-Gasteiz
0105905016,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105904026,Secciones,1,5,"0,16",2024M11,Araba/Álava,Vitoria-Gasteiz
0105904007,Secciones,2,5,"0,29",2024M11,Araba/Álava,Vitoria-Gasteiz
0105901030,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105905013,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105905017,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105901033,Secciones,1,1,"0,17",2024M11,Araba/Álava,Vitoria-Gasteiz
0105901025,Secciones,4,13,"0,53",2024M11,Araba/Álava,Vitoria-Gasteiz
0105903040,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105904012,Secciones,1,4,"0,13",2024M11,Araba/Álava,Vitoria-Gasteiz
0105902005,Secciones,1,4,"0,16",2024M11,Araba/Álava,Vitoria-Gasteiz
0105903003,Secciones,1,4,"0,20",2024M11,Araba/Álava,Vitoria-Gasteiz
0105901027,Secciones,1,2,"0,14",2024M11,Araba/Álava,Vitoria-Gasteiz
0105904017,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105901005,Secciones,7,25,"0,67",2024M11,Araba/Álava,Vitoria-Gasteiz
0105903002,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105901001,Secciones,5,18,"0,55",2024M11,Araba/Álava,Vitoria-Gasteiz
0105901023,Secciones,5,17,"0,50",2024M11,Araba/Álava,Vitoria-Gasteiz
0105904005,Secciones,1,4,"0,15",2024M11,Araba/Álava,Vitoria-Gasteiz
0105904023,Secciones,2,9,"0,22",2024M11,Araba/Álava,Vitoria-Gasteiz
0105903025,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105901003,Secciones,5,12,"0,75",2024M11,Araba/Álava,Vitoria-Gasteiz
